id,date,time,severity,casualties,number_of_casualties,number_of_vehicles,latitude,longitude
200001BS00040,2000-01-18,23:59:00,fatal,Pedestrian,1,1,51.496171,-0.206881
200001BS00435,2000-06-15,01:50:00,fatal,Pedestrian,1,1,51.485005,-0.182546
200001BS00831,2000-10-11,20:00:00,fatal,Pedestrian,1,1,51.493113,-0.200951
200001BS01062,2000-12-26,20:05:00,fatal,Motorcycle rider/passenger,1,2,51.482076,-0.173445
200001CP00031,2000-01-05,16:14:00,fatal,Pedestrian,1,1,51.514128,-0.107738
200001CP00092,2000-03-01,18:19:00,fatal,Motorcycle rider/passenger,1,3,51.513385,-0.084133
200001CP00223,2000-06-07,08:55:00,fatal,Cyclist,1,2,51.517038,-0.087583
200001DM00087,2000-01-21,21:18:00,fatal,Motorcycle rider/passenger,1,2,51.539708,-0.178492
200001DM00194,2000-02-06,22:34:00,fatal,Car occupant,1,7,51.531583,-0.205634
200001DM00638,2000-04-10,13:54:00,fatal,Pedestrian,1,1,51.514056,-0.154006
200001DM01600,2000-08-11,00:06:00,fatal,Pedestrian,1,1,51.513036,-0.129402
200001DM01864,2000-09-16,20:20:00,fatal,Pedestrian,1,1,51.513481,-0.157488
200001DM01959,2000-10-01,13:02:00,fatal,Pedestrian,1,1,51.50045,-0.16954
200001DM02157,2000-10-21,07:45:00,fatal,Car occupant,2,2,51.494067,-0.146746
200001DM02334,2000-11-15,11:54:00,fatal,Motorcycle rider/passenger,1,2,51.496646,-0.144913
200001DM02390,2000-11-23,05:55:00,fatal,Cyclist,1,2,51.522023,-0.146044
200001DM02677,2000-12-21,02:58:00,fatal,Motorcycle rider/passenger,1,1,51.521988,-0.201543
200001EK00483,2000-04-25,15:45:00,fatal,Motorcycle rider/passenger,1,3,51.521076,-0.114802
200001EK00777,2000-07-19,16:25:00,fatal,Pedestrian,1,1,51.543834,-0.15482
200001EK01141,2000-09-25,08:05:00,fatal,Pedestrian,1,1,51.554365,-0.161174
200001EK01158,2000-10-13,12:37:00,fatal,Car occupant,1,1,51.565853,-0.177015
200001EK01616,2000-12-14,09:50:00,fatal,Pedestrian,1,2,51.544132,-0.191296
200001FH00168,2000-02-26,09:18:00,fatal,Pedestrian,1,1,51.473732,-0.192066
200001FH00218,2000-03-20,19:35:00,fatal,Pedestrian,1,1,51.490732,-0.227694
200001FH00401,2000-05-17,08:23:00,fatal,Pedestrian,Motorcycle rider/passenger,2,1,51.499911,-0.222151
200001FH01053,2000-12-22,07:30:00,fatal,Pedestrian,Car occupant,Goods vehicle occupant,6,14,51.483766,-0.201319
200001GD00149,2000-03-15,19:03:00,fatal,Car occupant,Motorcycle rider/passenger,6,2,51.550919,-0.0589
200001GD00442,2000-08-01,16:17:00,fatal,Pedestrian,1,1,51.540371,-0.05185
200001GD00540,2000-09-20,10:20:00,fatal,Pedestrian,1,1,51.544952,-0.046174
200001GD00669,2000-12-07,21:18:00,fatal,Pedestrian,1,1,51.529646,-0.083162
200001GN00312,2000-06-20,14:59:00,fatal,Pedestrian,1,1,51.543201,-0.076246
200001HT00182,2000-03-11,16:10:00,fatal,Pedestrian,1,1,51.509402,-0.077094
200001HT00184,2000-03-08,17:20:00,fatal,Motorcycle rider/passenger,1,3,51.528711,-0.048311
200001HT00221,2000-03-16,23:45:00,fatal,Car occupant,6,1,51.508407,-0.022663
200001HT00275,2000-04-02,23:38:00,fatal,Car occupant,3,2,51.508222,-0.070947
200001HT00307,2000-04-10,09:20:00,fatal,Pedestrian,1,1,51.518171,-0.063464
200001HT00328,2000-04-15,15:32:00,fatal,Pedestrian,1,1,51.501449,-0.02599
200001HT00541,2000-06-17,08:45:00,fatal,Pedestrian,1,1,51.523152,-0.017123
200001HT01250,2000-11-10,01:16:00,fatal,Pedestrian,1,1,51.509081,-0.073937
200001JC00163,2000-03-08,17:13:00,fatal,Pedestrian,1,1,51.577093,-0.016218
200001JC00411,2000-05-25,21:30:00,fatal,Pedestrian,Motorcycle rider/passenger,2,1,51.602459,-0.016557
200001JC00673,2000-08-02,09:20:00,fatal,Pedestrian,1,1,51.57101,-0.02341
200001JC00684,2000-08-11,22:50:00,fatal,Pedestrian,Motorcycle rider/passenger,4,1,51.608948,-0.01743
200001JC01004,2000-11-29,23:30:00,fatal,Pedestrian,1,1,51.597674,-0.015466
200001JI00001,2000-01-08,03:35:00,fatal,Car occupant,2,1,51.554244,0.072658
200001JI00682,2000-06-19,19:18:00,fatal,Car occupant,1,1,51.586051,0.053751
200001JI01339,2000-12-17,17:20:00,fatal,Car occupant,1,1,51.564053,0.031116
200001KG00342,2000-05-21,21:50:00,fatal,Goods vehicle occupant,3,1,51.533004,0.108894
200001KG00509,2000-07-30,17:24:00,fatal,Pedestrian,Motorcycle rider/passenger,2,1,51.521542,0.116148
200001KO00338,2000-04-15,02:37:00,fatal,Car occupant,4,1,51.542549,0.036937
200001LX00001,2000-01-12,22:00:00,fatal,Pedestrian,Motorcycle rider/passenger,2,2,51.443671,-0.110653
200001LX00167,2000-02-01,15:58:00,fatal,Motorcycle rider/passenger,1,3,51.458039,-0.114954
200001LX00589,2000-04-12,08:35:00,fatal,Pedestrian,1,1,51.45963,-0.141376
200001LX00671,2000-05-02,18:24:00,fatal,Pedestrian,Car occupant,2,1,51.463579,-0.090539
200001LX01155,2000-07-17,22:14:00,fatal,Pedestrian,1,1,51.468385,-0.098545
200001LX01202,2000-07-27,16:35:00,fatal,Motorcycle rider/passenger,1,5,51.476777,-0.111445
200001LX01366,2000-08-31,23:40:00,fatal,Cyclist,1,2,51.467178,-0.112849
200001MM00048,2000-01-09,01:20:00,fatal,Car occupant,4,1,51.441806,-0.084396
200001MM00149,2000-02-12,01:50:00,fatal,Motorcycle rider/passenger,1,2,51.45927,-0.091007
200001MM00743,2000-06-20,08:10:00,fatal,Cyclist,1,2,51.495565,-0.083295
200001MM01260,2000-09-30,23:18:00,fatal,Pedestrian,1,1,51.449566,-0.075004
200001MM01398,2000-10-23,18:20:00,fatal,Cyclist,1,2,51.499813,-0.095652
200001NI00191,2000-01-19,13:02:00,fatal,Pedestrian,Bus/coach/minibus occupant,2,1,51.559497,-0.110616
200001NI00257,2000-02-06,18:20:00,fatal,Pedestrian,1,1,51.531171,-0.116259
200001NI00558,2000-04-29,01:55:00,fatal,Pedestrian,1,1,51.556518,-0.121127
200001NI00992,2000-08-10,22:03:00,fatal,Cyclist,1,2,51.563746,-0.1064
200001NI01244,2000-10-05,23:01:00,fatal,Pedestrian,1,1,51.53173,-0.106288
200001NI01492,2000-12-12,22:25:00,fatal,Motorcycle rider/passenger,1,2,51.53775,-0.122765
200001PL00678,2000-07-04,09:15:00,fatal,Motorcycle rider/passenger,1,2,51.471921,-0.00293
200001PL01244,2000-12-04,07:10:00,fatal,Motorcycle rider/passenger,1,2,51.489199,-0.040924
200001PY00005,2000-01-24,20:48:00,fatal,Pedestrian,1,2,51.360428,0.088745
200001PY00159,2000-03-10,15:35:00,fatal,Car occupant,1,2,51.360009,0.081975
200001PY00360,2000-05-05,13:22:00,fatal,Pedestrian,Car occupant,2,1,51.412675,-0.057428
200001PY00417,2000-06-04,00:18:00,fatal,Pedestrian,1,2,51.394997,0.111883
200001PY00876,2000-09-28,17:20:00,fatal,Pedestrian,Car occupant,2,1,51.391526,0.079668
200001PY01170,2000-12-09,12:30:00,fatal,Pedestrian,1,1,51.40055,0.113146
200001QA00242,2000-04-11,22:55:00,fatal,Pedestrian,1,1,51.587159,-0.302473
200001QD00254,2000-05-03,10:55:00,fatal,Pedestrian,1,1,51.577227,-0.262865
